label,text
Warranty,No-charge Maintenance Services shall be provided from the Delivery Date through the Warranty Period. <omitted> WARRANTY PERIOD DURATION <omitted> 120 days
Assignment,"This Agreement may not be assigned by Broker Dealer without the prior written consent of Issuer and Distributor, which shall not be unreasonably withheld."
Assignment,Neither Party shall be entitled to assign any of its rights or duties hereunder to any third parties without a written consent of the other Party thereto.
Termination,"At any time during a renewed term, this Agreement may be terminated by any party on six (6) months prior notice that it wishes to terminate the Agreement."
Termination,"In addition, either you or Nationwide may terminate this Agreement <omitted> for any reason on at least ninety (90) days written notice to the other party."
Auto-Renewal,This Agreement may be terminated by either party at the expiration of its term or any renewal term upon thirty (30) days written notice to the other party.
Assignment,This Agreement may not be assigned by either party hereto without the written consent of the other but shall be binding upon the successors of the parties.
Liability,"In case of violation of this article, the Party shall pay to the other Party an equivalent of eighteen (18) months gross salary of the respective employee."
Payment Terms,Royalties and Service Fees payable by DIALOG and/or its Affiliates to ENERGOUS hereunder will be calculated on a Product by Product basis as defined herein.
Insurance,"Owner covenants that it will maintain at all times during the Term of this Agreement insurance coverage for sudden and accidental pollution of $500,000,000."
Termination,"After the termination of this Agreement, Party B shall strictly perform the Financial Leasing Agreement signed with the Driver User until the lease expires."
Intellectual Property,"Impresse hereby grants to VerticalNet a non-exclusive, non-transferable, royalty-free, right and license to link to the Impresse Area of the Co-Branded Site."
Assignment,Neither of the parties hereto may assign its rights or delegate any of its duties under this Agreement without the prior written consent of each other party.
Auto-Renewal,"Upon the expiry of this Agreement, this Agreement may be renewed automatically for one year (but can only be renewed once) if neither Party raises objection."
Termination,"In such an instance, all compensation will continue for a extended period of five years from the date of termination for all subscriptions tagged as USA MCO."
Assignment,"Neither Party shall assign or transfer to any third party, without the prior written consent of the other Party, this Agreement or any rights granted herein."
Exclusivity,"Without Party A's consent, Party B may not enter into with any third party any agreement or cooperation which is identical with or similar to this Agreement."
Liability,"Sicap Ltd's liability for indirect loss, including consequential loss, loss of profit, lost savings and loss caused by interruption of operations is excluded."
Non-Compete,Publishers may not use either Proprietary Software or Source Code held in escrow to develop a product that competes with those services offered by HealthGate.
Auto-Renewal,"Thereafter, this Agreement shall automatically be renewed for successive 1-year terms (each a ""Renewal Term"", and together with the Initial Term, the ""Term"")."
Assignment,"Customer will not assign this Agreement or any of its rights hereunder without the prior written consent of IBM, such consent not to be unreasonably withheld."
Audit Rights,"During the Term, and for a period of [ * ] thereafter, Google may audit Distributor's relevant records to confirm Distributor's compliance with this Agreement."
Termination,Either party wishing to terminate the Agreement must give written notice to the other party at least thirty (30) days prior to the desired date of termination.
Exclusivity,NFLA agrees not to grant the right to use the NFLAs Identification to anyone other than Company in connection with the advertisement and promotion of Products.
Intellectual Property,University hereby grants to ArTara an exclusive license to use the Program Data solely for the Project and in Regulatory Filings in the Field in the Territory.
Non-Compete,It is agreed that ownership of no more than 1% of the outstanding voting stock of a publicly traded corporation will not constitute a violation of Section 7.3.
